date,INTC
2001-10-02,12.1700344967
2001-10-03,13.2226116871
2001-10-04,13.4219162438
2001-10-05,13.6772752072
2001-10-08,13.8516666943
2001-10-09,13.3596335699
2001-10-10,14.362384621
2001-10-11,15.2654833938
2001-10-12,15.5831250311
2001-10-15,15.1845159176
2001-10-16,15.5457554267
2001-10-17,15.3028529982
2001-10-18,14.9789830935
2001-10-19,15.0412657675
2001-10-22,15.7575165183
2001-10-23,15.5706684963
2001-10-24,15.8696253315
2001-10-25,16.2557779102
2001-10-26,16.1062994926
2001-10-29,15.0599505697
2001-10-30,14.6613414561
2001-10-31,15.2094289872
2001-11-01,16.1561256318
2001-11-02,16.3803432581
2001-11-05,16.8038654412
2001-11-06,17.6079079642
2001-11-07,17.6328395153
2001-11-08,17.6266066275
2001-11-09,17.3772911165
2001-11-12,17.6889355053
2001-11-13,18.7298277637
2001-11-14,19.5214045111
2001-11-15,19.1848285713
2001-11-16,19.0913352546
2001-11-19,19.3157192145
2001-11-20,18.667498886
2001-11-21,19.2035272346
2001-11-23,19.359349429
2001-11-26,19.8642133387
2001-11-27,20.1384604008
2001-11-28,19.7956515732
2001-11-29,20.1446932886
2001-11-30,20.356611473
2001-12-03,19.9701724309
2001-12-04,20.4812692285
2001-12-05,21.5720245891
2001-12-06,21.2915446392
2001-12-07,20.7181189639
2001-12-10,20.5373652184
2001-12-11,20.686954525
2001-12-12,21.241681537
2001-12-13,20.300515483
2001-12-14,20.7368176272
2001-12-17,21.1731197715
2001-12-18,21.0733935671
2001-12-19,20.5996940962
2001-12-20,19.9327751043
2001-12-21,20.2007892786
2001-12-24,19.9577066554
2001-12-26,20.1259946253
2001-12-27,20.3628443607
2001-12-28,20.0948301864
2001-12-31,19.6024320522
2002-01-02,20.5685296573
2002-01-03,22.1392173766
2002-01-04,22.3075053465
2002-01-07,21.9833951822
2002-01-08,22.1766147032
2002-01-09,22.0394911722
2002-01-10,21.5969561402
2002-01-11,21.5346272624
2002-01-14,21.7153810079
2002-01-15,21.6156548035
2002-01-16,21.0110646893
2002-01-17,21.5221614869
2002-01-18,20.8677082705
2002-01-22,19.7582542466
2002-01-23,20.2257208297
2002-01-24,20.6931874128
2002-01-25,20.992366026
2002-01-28,21.1419553326
2002-01-29,20.3690772485
2002-01-30,21.104558006
2002-01-31,21.8400387634
2002-02-01,21.6094219157
2002-02-04,21.1793526593
2002-02-05,21.0796264549
2002-02-06,20.5308077779
2002-02-07,20.1503766496
2002-02-08,20.281344743
2002-02-11,20.9361852097
2002-02-12,20.5619906573
2002-02-13,20.8176902681
2002-02-14,20.7927439646
2002-02-15,20.1379034978
2002-02-19,19.5454287898
2002-02-20,19.6077945485
2002-02-21,18.3854256772
2002-02-22,18.4166085566
2002-02-25,19.3458583618
2002-02-26,18.7222007744
2002-02-27,18.641125288
2002-02-28,17.8054241209
2002-03-01,19.3209120583
2002-03-04,19.8634941594
2002-03-05,20.3936031087
2002-03-06,20.5557540814
2002-03-07,20.5682272332
2002-03-08,21.3103797622
2002-03-11,20.8426365716
2002-03-12,20.574463809
2002-03-13,19.5454287898
2002-03-14,19.3146754825
2002-03-15,19.7948918248
2002-03-18,19.7200529143
2002-03-19,19.782418673
2002-03-20,19.040266144
2002-03-21,19.582848245
2002-03-22,19.0776855992
2002-03-25,18.7097276227
2002-03-26,19.189943965
2002-03-27,18.9654272335
2002-03-28,18.9654272335
2002-04-01,19.4394069999
2002-04-02,18.7284373503
2002-04-03,18.6286521363
2002-04-04,19.0776855992
2002-04-05,18.740910502
2002-04-08,18.6660715915
2002-04-09,17.749294938
2002-04-10,18.248221008
2002-04-11,18.04865058
2002-04-12,17.7056389069
2002-04-15,17.5310147824
2002-04-16,18.4041354048
2002-04-17,19.1088684786
2002-04-18,18.990373537
2002-04-19,18.7720933814
2002-04-22,18.7471470779
2002-04-23,18.4228451324
2002-04-24,18.0299408524
2002-04-25,18.1421992181
2002-04-26,17.5372513583
2002-04-29,17.4873587513
2002-04-30,17.8428435761
2002-05-01,17.8553167279
2002-05-02,17.3813369614
2002-05-03,16.5768186737
2002-05-06,16.0899994506
2002-05-07,16.3209265179
2002-05-08,18.0872065197
2002-05-09,17.625352385
2002-05-10,16.8576759178
2002-05-13,17.8001080035
2002-05-14,18.8174353543
2002-05-15,18.8736068032
2002-05-16,19.204394224
2002-05-17,19.4727689239
2002-05-20,18.8424004427
2002-05-21,18.1433779685
2002-05-22,18.4679241172
2002-05-23,18.3430986754
2002-05-24,17.8874858128
2002-05-28,17.694006378
2002-05-29,17.0199489921
2002-05-30,17.1135680735
2002-05-31,17.2383935153
2002-06-03,16.6142663062
2002-06-04,17.1634982502
2002-06-05,17.5879047524
2002-06-06,16.8514346457
2002-06-07,13.7307986002
2002-06-10,13.1503602957
2002-06-11,12.619852168
2002-06-12,13.4686651724
2002-06-13,13.1753253841
2002-06-14,13.2814270096
2002-06-17,14.0803098373
2002-06-18,13.7432811444
2002-06-19,12.5387156308
2002-06-20,12.0082075031
2002-06-21,11.6899026264
2002-06-24,12.0643789519
2002-06-25,11.4340104707
2002-06-26,11.6150073613
2002-06-27,11.6399724497
2002-06-28,11.4028041102
2002-07-01,10.9471912476
2002-07-02,10.3417878548
2002-07-03,11.0782579615
2002-07-05,12.1954456658
2002-07-08,11.5463533683
2002-07-09,11.2093246754
2002-07-10,10.491578385
2002-07-11,11.3903215661
2002-07-12,11.2280484917
2002-07-15,11.933312238
2002-07-16,11.4589755591
2002-07-17,12.1330329449
2002-07-18,11.9770011426
2002-07-19,11.6399724497
2002-07-22,11.3965628381
2002-07-23,11.1157055941
2002-07-24,11.6711788102
2002-07-25,10.9097436151
2002-07-26,11.1157055941
2002-07-29,11.7897629799
2002-07-30,11.8396931566
2002-07-31,11.727350259
2002-08-01,10.9596737918
2002-08-02,10.429165664
2002-08-05,9.92362262467
2002-08-06,10.7047642041
2002-08-07,11.0734630295
2002-08-08,11.4859057835
2002-08-09,11.1609508864
2002-08-12,10.9547295095
2002-08-13,10.4360515008
2002-08-14,11.4296635898
2002-08-15,11.6296358341
2002-08-16,11.717123691
2002-08-19,12.1608121081
2002-08-20,11.8546046089
2002-08-21,12.2420508323
2002-08-22,11.9670889964
2002-08-23,11.2234422128
2002-08-26,11.3296774676
2002-08-27,10.7360098672
2002-08-28,10.5235393577
2002-08-29,10.7110133367
2002-08-30,10.4173041029
2002-09-03,9.9111243594
2002-09-04,10.0673526753
2002-09-05,9.44243941177
2002-09-06,10.1360931343
2002-09-09,10.0486052774
2002-09-10,10.2923214502
2002-09-11,10.3860584397
2002-09-12,9.81113823724
2002-09-13,10.0173596142
2002-09-16,9.81113823724
2002-09-17,9.72989951298
2002-09-18,9.54867466656
2002-09-19,9.36120068751
2002-09-20,9.31120762643
2002-09-23,8.83002441352
2002-09-24,8.96125619886
2002-09-25,9.49868160548
2002-09-26,9.46743594231
2002-09-27,9.13623191264
2002-09-30,8.68004523027
2002-10-01,9.16747757582
2002-10-02,8.93625966832
2002-10-03,8.6487995671
2002-10-04,8.56756084284
2002-10-07,8.63630130183
2002-10-08,8.26135334372
2002-10-09,8.41133252696
2002-10-10,8.86127007669
2002-10-11,9.51117987075
2002-10-14,9.43619027913
2002-10-15,10.3235671133
2002-10-16,8.46132558804
2002-10-17,8.89251573987
2002-10-18,9.03624579048
2002-10-21,9.65490992136
2002-10-22,9.4486885444
2002-10-23,10.0985983385
2002-10-24,9.7673943088
2002-10-25,10.3673110418
2002-10-28,10.5047919597
2002-10-29,10.2485775217
2002-10-30,10.5047919597
2002-10-31,10.8172485915
2002-11-01,11.4359127224
2002-11-04,11.7296219562
2002-11-05,11.4796566508
2002-11-06,11.9863880888
2002-11-07,11.5359601439
2002-11-08,11.3545377773
2002-11-11,10.8478063393
2002-11-12,11.3044902278
2002-11-13,11.3357699462
2002-11-14,12.0176678072
2002-11-15,11.7611741164
2002-11-18,11.6360552428
2002-11-19,11.3545377773
2002-11-20,11.9801321452
2002-11-21,12.6432621751
2002-11-22,12.5431670763
2002-11-25,12.8121726544
2002-11-26,12.6370062314
2002-11-27,13.074922289
2002-11-29,13.0624104016
2002-12-02,13.1687614441
