date,VZ
2001-05-29,19.4473490828
2001-05-30,19.2583321194
2001-05-31,19.5614725324
2001-06-01,19.5222425966
2001-06-04,19.7576222114
2001-06-05,19.7932857894
2001-06-06,19.4116855048
2001-06-07,19.0086870735
2001-06-08,19.0800142295
2001-06-11,19.1905713212
2001-06-12,19.3831546424
2001-06-13,19.1156778075
2001-06-14,19.0265188625
2001-06-15,18.7055466605
2001-06-18,18.6128213577
2001-06-19,18.5807241375
2001-06-20,18.8089710367
2001-06-21,18.9730234955
2001-06-22,18.7412102385
2001-06-25,18.4737334035
2001-06-26,18.9016963395
2001-06-27,18.6520512935
2001-06-28,19.1192441653
2001-06-29,19.0800142295
2001-07-02,19.390287358
2001-07-03,19.6078351838
2001-07-05,19.2583321194
2001-07-06,19.1352927753
2001-07-09,19.3975184882
2001-07-10,19.8285744547
2001-07-11,20.0584709701
2001-07-12,19.918377781
2001-07-13,19.8465351199
2001-07-16,20.0800237684
2001-07-17,20.2847753524
2001-07-18,20.191379893
2001-07-19,20.5326325331
2001-07-20,20.1626428286
2001-07-23,19.7567317936
2001-07-24,19.4190712866
2001-07-25,20.054878837
2001-07-26,20.191379893
2001-07-27,20.1626428286
2001-07-30,20.123129365
2001-07-31,19.451400484
2001-08-01,20.0225496395
2001-08-02,19.5771251409
2001-08-03,19.2825702305
2001-08-06,19.1352927753
2001-08-07,19.243056767
2001-08-08,19.0562658482
2001-08-09,18.9485018566
2001-08-10,19.3723735569
2001-08-13,19.2682016983
2001-08-14,19.2825702305
2001-08-15,19.0023838524
2001-08-16,19.1460691745
2001-08-17,18.8586985302
2001-08-20,19.1460691745
2001-08-21,19.1460691745
2001-08-22,18.8730670625
2001-08-23,18.6790918776
2001-08-24,18.7186053412
2001-08-27,18.4456032291
2001-08-28,18.1654168509
2001-08-29,17.9606652669
2001-08-30,18.0432843271
2001-08-31,17.9606652669
2001-09-04,17.9427046016
2001-09-05,17.9067832711
2001-09-06,17.6158204938
2001-09-07,17.6194126268
2001-09-10,18.2121145806
2001-09-17,17.8888226058
2001-09-18,18.571327886
2001-09-19,19.3615971577
2001-09-20,19.1281085092
2001-09-21,18.1941539154
2001-09-24,18.6790918776
2001-09-25,19.379557823
2001-09-26,19.3041230289
2001-09-27,19.2538331661
2001-09-28,19.4370319518
2001-10-01,19.8644957852
2001-10-02,20.0081811073
2001-10-03,19.7064419308
2001-10-04,19.7387711283
2001-10-05,19.7010537313
2001-10-08,19.7119063132
2001-10-09,19.6974362039
2001-10-10,19.5708227481
2001-10-11,19.1186318343
2001-10-12,18.9196678323
2001-10-15,18.8871100865
2001-10-16,18.8473172861
2001-10-17,19.0462812881
2001-10-18,18.8473172861
2001-10-19,18.9377554688
2001-10-22,18.5072697189
2001-10-23,18.0369911686
2001-10-24,18.123811824
2001-10-25,18.1563695698
2001-10-26,18.3083057168
2001-10-29,18.1563695698
2001-10-30,17.8344096392
2001-10-31,18.018903532
2001-11-01,18.5000346643
2001-11-02,18.5760027378
2001-11-05,18.5217398281
2001-11-06,18.2504252799
2001-11-07,18.0333736413
2001-11-08,18.0659313871
2001-11-09,18.1527520425
2001-11-12,17.9067601854
2001-11-13,17.6860910195
2001-11-14,17.8163220027
2001-11-15,18.3951263723
2001-11-16,18.1961623702
2001-11-19,18.0514612778
2001-11-20,17.7982343661
2001-11-21,17.7222662926
2001-11-23,17.7258838199
2001-11-26,17.6716209102
2001-11-27,17.3641310889
2001-11-28,17.3098681792
2001-11-29,17.1687846141
2001-11-30,17.0023783579
2001-12-03,17.1724021414
2001-12-04,17.3568960343
2001-12-05,17.4183939985
2001-12-06,17.5667126182
2001-12-07,17.3134857065
2001-12-10,17.4762744355
2001-12-11,17.3134857065
2001-12-12,17.1362268683
2001-12-13,17.1941073053
2001-12-14,17.0747289041
2001-12-17,17.494362072
2001-12-18,17.3822187254
2001-12-19,17.5269198178
2001-12-20,17.4618043263
2001-12-21,17.0566412675
2001-12-24,17.0747289041
2001-12-26,17.0747289041
2001-12-27,17.5124497086
2001-12-28,17.4618043263
2001-12-31,17.1687846141
2002-01-02,17.5413899271
2002-01-03,18.123811824
2002-01-04,18.3083057168
2002-01-07,18.1961623702
2002-01-08,18.1545608062
2002-01-09,17.8191753455
2002-01-10,17.9978045582
2002-01-11,18.1181058648
2002-01-14,18.3404810072
2002-01-15,18.2602801361
2002-01-16,17.8629212751
2002-01-17,18.1618517944
2002-01-18,17.8264663338
2002-01-22,17.6077366855
2002-01-23,17.9176036872
2002-01-24,17.5348268027
2002-01-25,17.436398461
2002-01-28,17.5566997676
2002-01-29,17.0682035531
2002-01-30,16.7984369869
2002-01-31,16.8968653286
2002-02-01,16.9880026821
2002-02-04,16.6234532683
2002-02-05,16.4083691142
2002-02-06,15.821444558
2002-02-07,16.2224489131
2002-02-08,16.4776335028
2002-02-11,16.5979348093
2002-02-12,16.5250249266
2002-02-13,16.5140884442
2002-02-14,16.6015803035
2002-02-15,16.6270987624
2002-02-19,16.6635537038
2002-02-20,16.9916481762
2002-02-21,16.2042214424
2002-02-22,16.5140884442
2002-02-25,17.0208121293
2002-02-26,17.1374679417
2002-02-27,17.1848593655
2002-02-28,17.0609125648
2002-03-01,17.7134560155
2002-03-04,17.4728534024
2002-03-05,17.2796422131
2002-03-06,17.5311813086
2002-03-07,17.3452611076
2002-03-08,17.0025846586
2002-03-11,17.1411134359
2002-03-12,17.3015151779
2002-03-13,17.4509804376
2002-03-14,17.4436894493
2002-03-15,17.3890070372
2002-03-18,17.3598430841
2002-03-19,17.3853615431
2002-03-20,17.5384722969
2002-03-21,17.14475893
2002-03-22,16.6270987624
