date,SPY
2001-10-16,75.432087485
2001-10-17,73.8272980842
2001-10-18,73.669559361
2001-10-19,73.6215527584
2001-10-22,75.075469066
2001-10-23,74.6914183026
2001-10-24,74.4925331203
2001-10-25,75.8298578496
2001-10-26,75.6584056974
2001-10-29,73.6901329334
2001-10-30,72.805444629
2001-10-31,72.5585528441
2001-11-01,74.4170934875
2001-11-02,74.9245904863
2001-11-05,75.9052967965
2001-11-06,77.0848889749
2001-11-07,76.982016312
2001-11-08,77.2220479534
2001-11-09,77.3043470438
2001-11-12,76.8311377323
2001-11-13,78.5593781691
2001-11-14,78.6348178019
2001-11-15,78.7788369239
2001-11-16,78.4290731619
2001-11-19,79.3960605567
2001-11-20,78.7308303213
2001-11-21,78.2096144071
2001-11-23,79.3343398394
2001-11-26,79.5057919915
2001-11-27,79.1628876872
2001-11-28,77.7295449521
2001-11-29,78.7788369239
2001-11-30,78.2164738648
2001-12-03,77.750124011
2001-12-04,79.0668751678
2001-12-05,80.5139320177
2001-12-06,80.4727793864
2001-12-07,79.9378500433
2001-12-10,78.4427865908
2001-12-11,78.2850540399
2001-12-12,78.3742071016
2001-12-13,76.8517113047
2001-12-14,77.5855258301
2001-12-17,78.387926017
2001-12-18,78.8542758708
2001-12-19,79.4097794721
2001-12-20,78.6279583442
2001-12-21,79.1030625449
2001-12-24,78.9516732487
2001-12-26,79.3852075897
2001-12-27,79.8669118778
2001-12-28,79.8256241382
2001-12-31,78.6557679178
2002-01-02,79.5021920419
2002-01-03,80.4036690086
2002-01-04,80.9404323328
2002-01-07,80.3692648528
2002-01-08,80.1834610785
2002-01-09,79.5297188073
2002-01-10,79.880677669
2002-01-11,79.0961844663
2002-01-14,78.600714387
2002-01-15,79.2406963721
2002-01-16,77.6373009937
2002-01-17,78.2222287598
2002-01-18,77.8643925076
2002-01-22,77.3276346886
2002-01-23,77.9194453504
2002-01-24,78.1602978385
2002-01-25,78.1396539687
2002-01-28,78.3529796914
2002-01-29,75.8893943977
2002-01-30,76.9835587225
2002-01-31,77.8850356893
2002-02-01,77.5203165415
2002-02-04,75.5934883787
2002-02-05,75.1255450648
2002-02-06,74.8021129685
2002-02-07,74.3341696546
2002-02-08,75.7586434661
2002-02-11,76.6876527035
2002-02-12,76.4467953983
2002-02-13,77.2588153665
2002-02-14,77.1143041489
2002-02-15,76.3091670763
2002-02-19,74.8434055252
2002-02-20,76.1027194322
2002-02-21,74.5268563245
2002-02-22,75.4489771611
2002-02-25,76.6945307821
2002-02-26,76.5362585903
2002-02-27,76.8321646093
2002-02-28,76.4880886432
2002-03-01,78.270399395
2002-03-04,79.6535861551
2002-03-05,79.3989678757
2002-03-06,80.3417380873
2002-03-07,80.1697001043
2002-03-08,80.5068931748
2002-03-11,80.6789311578
2002-03-12,80.6307605226
2002-03-13,79.8531509036
2002-03-14,79.7430438418
2002-03-15,80.5006887969
2002-03-18,80.5144881261
2002-03-19,81.0527689292
2002-03-20,79.5276387218
2002-03-21,79.5621460161
2002-03-22,79.3896198965
2002-03-25,78.4027704922
2002-03-26,78.8582366876
2002-03-27,79.0652701015
2002-03-28,79.0307628072
2002-04-01,79.0652701015
2002-04-02,78.6305056602
2002-04-03,78.0784200071
2002-04-04,77.7540702121
2002-04-05,77.7678750621
2002-04-08,77.9334987567
2002-04-09,77.3883155286
2002-04-10,78.2647516668
2002-04-11,76.3186515166
2002-04-12,76.891439614
2002-04-15,76.3048521875
2002-04-16,78.1198248956
2002-04-17,77.954201201
2002-04-18,77.6160513867
2002-04-19,77.8989914625
2002-04-22,76.6015971132
2002-04-23,76.2703448932
2002-04-24,75.5043337528
2002-04-25,75.5457379512
2002-04-26,74.1103192557
2002-04-29,73.7445652623
2002-04-30,74.4346697408
2002-05-01,75.3456069624
2002-05-02,75.0557644616
2002-05-03,74.241441177
2002-05-06,72.7853200372
2002-05-07,72.5299793099
2002-05-08,75.2282905812
2002-05-09,74.3587575581
2002-05-10,72.9578461569
2002-05-13,74.4415721658
2002-05-14,76.0633163101
2002-05-15,75.7665713843
2002-05-16,76.1599309371
2002-05-17,76.5325880456
2002-05-20,75.7044592209
2002-05-21,75.0143547424
2002-05-22,75.1799832677
2002-05-23,75.9805017024
2002-05-24,75.0074571481
2002-05-28,74.6002927454
2002-05-29,74.0482126131
2002-05-30,73.8411791992
2002-05-31,73.9930028746
2002-06-03,72.0262064911
2002-06-04,72.2056295149
2002-06-05,72.8819346642
2002-06-06,71.3982086552
2002-06-07,71.3153940475
2002-06-10,71.5914372191
2002-06-11,70.3630519375
2002-06-12,70.7909187845
2002-06-13,70.0801118617
2002-06-14,69.9765954999
2002-06-17,71.8536803715
2002-06-18,72.440267798
2002-06-19,70.7495090653
2002-06-20,69.8454735786
2002-06-21,68.7574341547
2002-06-24,69.1175685337
2002-06-25,67.56622891
2002-06-26,67.6770407135
2002-06-27,68.8613189652
2002-06-28,68.5358147031
2002-07-01,67.1991723859
2002-07-02,65.7724985516
2002-07-03,66.1464820687
2002-07-05,68.7782102857
2002-07-08,67.919436296
2002-07-09,66.2088097692
2002-07-10,63.7987016962
2002-07-11,64.3181222858
2002-07-12,63.6117068212
