date,BABA
2018-03-28,178.91
2018-03-29,183.54
2018-04-02,177.61
2018-04-03,174.67
2018-04-04,172.07
2018-04-05,172.57
2018-04-06,167.52
2018-04-09,169.87
2018-04-10,177.1
2018-04-11,175.36
2018-04-12,175.92
2018-04-13,172.04
2018-04-16,174.7
2018-04-17,178.7
2018-04-18,182.68
2018-04-19,181.39
2018-04-20,179.11
2018-04-23,175.57
2018-04-24,173.09
2018-04-25,170.22
2018-04-26,173.9
2018-04-27,177.16
2018-04-30,178.54
2018-05-01,179.5
2018-05-02,181.45
2018-05-03,182.45
2018-05-04,188.89
2018-05-07,195.35
2018-05-08,196.31
2018-05-09,195.43
2018-05-10,195.96
2018-05-11,194.36
2018-05-14,198.64
2018-05-15,196.61
2018-05-16,198.11
2018-05-17,196.02
2018-05-18,195.0
2018-05-21,197.64
2018-05-22,195.87
2018-05-23,196.8
2018-05-24,197.37
2018-05-25,199.2
2018-05-29,198.0
2018-05-30,197.98
2018-05-31,198.01
2018-06-01,204.34
2018-06-04,208.95
2018-06-05,208.37
2018-06-06,208.3
2018-06-07,203.62
2018-06-08,205.07
2018-06-11,205.7
2018-06-12,209.08
2018-06-13,206.62
2018-06-14,210.86
2018-06-15,208.0
2018-06-18,208.57
2018-06-19,204.43
2018-06-20,206.23
2018-06-21,202.21
2018-06-22,202.01
2018-06-25,191.25
2018-06-26,191.42
2018-06-27,185.02
2018-06-28,188.38
2018-06-29,185.53
2018-07-02,186.36
2018-07-03,184.75
2018-07-05,186.88
2018-07-06,192.27
2018-07-09,192.75
2018-07-10,192.55
2018-07-11,187.42
2018-07-12,190.17
2018-07-13,190.04
2018-07-16,190.35
2018-07-17,192.66
2018-07-18,190.79
2018-07-19,187.34
2018-07-20,187.25
2018-07-23,187.04
2018-07-24,189.0
2018-07-25,197.98
2018-07-26,194.18
2018-07-27,189.42
2018-07-30,184.82
2018-07-31,187.23
2018-08-01,185.27
2018-08-02,182.6
2018-08-03,180.84
2018-08-06,178.62
2018-08-07,179.92
2018-08-08,177.52
2018-08-09,177.19
2018-08-10,180.01
2018-08-13,177.68
2018-08-14,172.53
2018-08-15,169.83
2018-08-16,171.99
2018-08-17,172.78
2018-08-20,176.29
2018-08-21,177.92
2018-08-22,177.85
2018-08-23,172.23
2018-08-24,174.23
2018-08-27,180.65
2018-08-28,178.19
2018-08-29,178.5
2018-08-30,174.6
2018-08-31,175.01
2018-09-04,170.44
2018-09-05,164.23
2018-09-06,159.87
2018-09-07,162.37
2018-09-10,156.36
2018-09-11,157.46
2018-09-12,161.46
2018-09-13,165.53
2018-09-14,164.74
2018-09-17,158.89
2018-09-18,156.65
2018-09-19,162.63
2018-09-20,165.88
2018-09-21,164.63
2018-09-24,163.16
2018-09-25,164.25
2018-09-26,165.4
2018-09-27,166.32
2018-09-28,164.76
2018-10-01,162.0
2018-10-02,160.23
2018-10-03,162.37
2018-10-04,156.13
2018-10-05,154.63
2018-10-08,151.14
2018-10-09,146.94
2018-10-10,138.29
2018-10-11,141.9
2018-10-12,147.29
2018-10-15,144.16
2018-10-16,149.6
2018-10-17,148.14
2018-10-18,142.02
2018-10-19,142.93
2018-10-22,148.8
2018-10-23,146.65
2018-10-24,139.61
2018-10-25,144.6
2018-10-26,142.87
2018-10-29,133.38
2018-10-30,136.33
2018-10-31,142.28
2018-11-01,151.25
2018-11-02,147.59
2018-11-05,144.64
2018-11-06,147.44
2018-11-07,152.5
2018-11-08,148.99
2018-11-09,144.85
2018-11-12,142.82
2018-11-13,146.98
2018-11-14,150.44
2018-11-15,156.22
2018-11-16,154.1
2018-11-19,149.53
2018-11-20,145.98
2018-11-21,149.41
2018-11-23,150.33
2018-11-26,156.01
2018-11-27,156.46
2018-11-28,159.34
2018-11-29,156.28
2018-11-30,160.86
2018-12-03,163.74
2018-12-04,158.34
2018-12-06,155.83
2018-12-07,153.06
2018-12-10,151.43
2018-12-11,151.83
2018-12-12,151.5
2018-12-13,151.48
2018-12-14,149.0
2018-12-17,143.98
2018-12-18,140.82
2018-12-19,137.14
2018-12-20,135.11
2018-12-21,132.0
2018-12-24,131.89
2018-12-26,138.0
2018-12-27,138.45
2018-12-28,139.09
2018-12-31,137.07
2019-01-02,136.7
2019-01-03,130.6
2019-01-04,139.75
2019-01-07,143.1
2019-01-08,146.79
2019-01-09,151.92
2019-01-10,151.69
2019-01-11,151.32
2019-01-14,149.27
2019-01-15,150.88
2019-01-16,154.84
2019-01-17,155.97
2019-01-18,157.02
2019-01-22,152.15
2019-01-23,152.03
2019-01-24,155.86
2019-01-25,159.21
2019-01-28,158.92
2019-01-29,156.88
2019-01-30,166.82
2019-01-31,168.49
2019-02-01,167.97
2019-02-04,166.7
2019-02-05,171.83
2019-02-06,171.52
2019-02-07,166.96
2019-02-08,167.36
2019-02-11,167.45
2019-02-12,168.71
2019-02-13,169.4
2019-02-14,168.38
2019-02-15,166.15
2019-02-19,170.18
2019-02-20,170.71
2019-02-21,171.66
2019-02-22,176.92
2019-02-25,183.25
2019-02-26,183.54
2019-02-27,184.58
2019-02-28,183.03
2019-03-01,183.88
2019-03-04,187.25
2019-03-05,185.0
2019-03-06,184.17
2019-03-07,177.32
2019-03-08,175.03
2019-03-11,180.41
2019-03-12,180.63
2019-03-13,180.7
2019-03-14,180.36
2019-03-15,180.97
2019-03-18,181.83
2019-03-19,182.14
2019-03-20,181.28
2019-03-21,181.5
2019-03-22,176.26
2019-03-25,178.77
2019-03-26,178.08
2019-03-27,177.03
2019-03-28,177.73
2019-03-29,182.45
2019-04-01,180.89
2019-04-02,181.74
2019-04-03,178.32
2019-04-04,181.07
2019-04-05,185.35
2019-04-08,186.5
2019-04-09,187.19
2019-04-10,186.19
2019-04-11,184.98
2019-04-12,188.91
